Reef,Sampletype,Replicate,SampleID,Name,Site,Code,Number,Region,Region_number,Depth,Lat,Long,Date.collection,Type.of.sample,Preservation
AL1,WAT,T1R1,AL1_T1R1,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T1R2,AL1_T1R2,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T2R1,AL1_T2R1,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T2R2,AL1_T2R2,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T3R1,AL1_T3R1,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T3R2,AL1_T3R2,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL3,WAT,T1R1,AL3_T1R1,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL3,WAT,T1R2,AL3_T1R2,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL3,WAT,T2R1,AL3_T2R1,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL3,WAT,T2R2,AL3_T2R2,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL3,WAT,T3R1,AL3_T3R1,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL4,WAT,T1R1,AL4_T1R1,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T1R2,AL4_T1R2,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T2R1,AL4_T2R1,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T2R2,AL4_T2R2,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T3R1,AL4_T3R1,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T3R2,AL4_T3R2,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL6,WAT,T1R1,AL6_T1R1,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T1R2,AL6_T1R2,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T2R1,AL6_T2R1,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T2R2,AL6_T2R2,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T3R1,AL6_T3R1,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T3R2,AL6_T3R2,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL7,WAT,T1R1,AL7_T1R1,Shib_Habil_Protected,AL7,AL7,23,Al Lith,3,10,20.121593,40.218074,28-Sep-23,Water,-80
AL7,WAT,T1R2,AL7_T1R2,Shib_Habil_Protected,AL7,AL7,23,Al Lith,3,10,20.121593,40.218074,28-Sep-23,Water,-80
