ID,Reef,Transect,Region,LOAP,LOAP_class,SST,DTS_km,TN,TOC,Cr,Mn,Ni,Cu,Zn,As,Cd,Pb,Chla,Nitrite,Nitrate,Phosphate,Algae,HC_dead,HC_bleached,HC_nonbleached,Turf,CCA,Live_cover,Coral_richness,Shannon_corals,WAT_Shannon_Index_ln,WAT_Species_Richness,WAT_Shannon_functions,WAT_Function_richness,WAT_Alteromonadales,WAT_Bacillota,WAT_Bacteroidota,WAT_Cyanobacteriota,WAT_Desulfovibrionales,WAT_Endozoicomonas,WAT_Flavobacteriales,WAT_Hyphomicrobiales,WAT_Nisaea_spp,WAT_Prochlorococcus_marinus,WAT_Pseudoalteromonas,WAT_Rhodobacterales,WAT_Synechococcus,WAT_Vibrio_spp
AFHL_T1,AFHL,T1,Thuwal,2.5,Low,32.59799317,12.97511378,0.138224855,0.419432461,22.49974091,2.382630324,2.900818738,1.047727783,2.777489895,6.443154731,1.957715825,0.0014815,0.17060641,0.05166774,0.82356535,0.01119284,2.91891892,0.972972973,3.13513514,24.64864865,33.83783784,3.351351351,69.08108108,15,1.895031789,3.709242048,501,24,1.784470111,0.00280837,0.015143172,0.085921439,0.266556535,3.67E-05,2.39E-04,0.071071953,0.005928781,0.020723201,0.080690162,0.001743759,0.025899413,0.170356094,0.004148311
AFHL_T2,AFHL,T2,Thuwal,2.5,Low,32.59799317,12.97511378,0.100552283,0.436990351,19.25603962,2.620034368,4.54563833,2.850080171,3.749115536,5.410896594,1.872030729,0.0014815,0.14891244,0.03043114,0.41151096,0.01042419,15.05376345,0.752688172,1.61290323,21.82795699,39.56989247,6.559139785,86.23655914,17,2.020227002,3.707269815,522,27,1.752340938,0.002110866,0.016244493,0.087169604,0.257562408,1.84E-05,9.18E-05,0.072173275,0.004717327,0.021145374,0.079515419,0.001009545,0.022595448,0.162628488,0.001211454
AFHL_T3,AFHL,T3,Thuwal,2.75,Low,32.59799317,12.97511378,0.130692393,0.487186045,19.16398045,2.332328169,3.183945097,0.995261155,1.654362067,5.437246543,1.961110533,0.0014815,0.15232452,0.07775157,0.36673189,0.01369885,14.82649842,0.315457413,7.04521556,15.14195584,25.34174553,1.892744479,64.77392218,14,1.86459486,3.708600736,522,32,1.774380086,0.001615272,0.016831865,0.088821586,0.245759912,5.51E-05,1.10E-04,0.073898678,0.005928781,0.022118209,0.075679148,6.79E-04,0.023091043,0.154680617,8.44E-04
AL1_T1,AL1,T1,Al Lith,6.25,High,34.01999314,0.57133391,0.072191864,0.468158305,21.81780581,2.540585255,3.253024506,1.047564739,0.195533037,6.281666839,1.950160273,0.0014815,1.70006771,0.04386432,1.11941153,0.02467057,1.94384449,0,0.43196544,12.85097193,23.32613391,0.107991361,39.3088553,10,1.189879932,3.943929322,560,26,1.903975224,0.002239354,0.01886931,0.11071953,0.176982379,0,0,0.091868576,0.004955947,0.020668135,2.75E-04,0.001339941,0.033204846,0.167511013,0.001046256
AL1_T2,AL1,T2,Al Lith,6.25,High,34.01999314,0.57133391,0.08106374,0.442433715,20.78020932,2.504281637,3.313035205,1.542980017,0.459353666,5.052331113,1.812559467,0.0014815,3.06835891,0.01795438,0.73746346,0.02071149,0.42105263,0,0.31578947,10.10526316,15.36842105,1.263157895,27.78947368,8,1.220328352,3.897031187,549,24,1.883954592,0.002092511,0.017731278,0.106424376,0.180598385,0,0,0.087756975,0.004405286,0.020502937,3.49E-04,0.001138032,0.030524963,0.172375184,7.34E-04
AL1_T3,AL1,T3,Al Lith,6.25,High,34.01999314,0.57133391,0.090317808,0.533866704,22.83349562,2.46835443,3.64654333,1.059817747,0.723174294,5.777020448,1.847127556,0.0014815,3.95244682,0.04225582,0.94264289,0.03190432,1.52838428,0.218340611,0.54585153,15.3930131,30.6768559,1.528384279,50.21834061,17,1.638396892,3.895372696,494,24,1.915392551,0.001725404,0.017969897,0.109820117,0.176707048,0,0,0.090051395,0.004607195,0.020245962,6.06E-04,7.89E-04,0.030121145,0.167272394,0.00150514
AL3_T1,AL3,T1,Al Lith,4.5,Medium,33.93499314,1.5734295,0.10513819,0.435619533,22.28,2.71,3.03,1.55,1.19,6.9,2.01,0.041170378,1.08938294,0.19969352,1.09701113,0.02355445,9.09090909,0.106951872,2.67379679,0.42780749,55.29411764,1.497326203,69.94652406,1,9.85E-08,3.800630825,613,24,1.834053237,0.001945668,0.013381057,0.126248164,0.204111601,3.67E-05,1.84E-05,0.107176946,0.004717327,0.021365639,7.34E-05,9.18E-04,0.039665932,0.194676946,0.001486784
AL3_T2,AL3,T2,Al Lith,4.5,Medium,33.93499314,1.5734295,0.082331128,0.347104281,20.98,2.69,3.11,1.29,0.65,6.02,2.02,0.0014815,0.83820428,0.0278445,1.23409812,0.03831678,9.63203463,0.108225108,0.75757576,2.27272727,68.18181819,2.597402597,84.09090909,2,0.598269683,3.701438182,430,24,1.838818087,0.001762115,0.014867841,0.126284875,0.191005874,0,0,0.108682085,0.004570485,0.022742291,5.51E-04,7.89E-04,0.040014684,0.179919236,0.001174743
AL3_T3,AL3,T3,Al Lith,4.5,Medium,33.93499314,1.5734295,0.091932677,0.391236186,20.21,2.69,3.24,1.74,1,5.77,2.02,0.047216626,0.88835744,0.03273522,0.95992414,0.02920878,12.88604899,0,2.342918,1.06496273,65.49520767,1.064962726,83.49307775,2,0.325083064,3.700233702,373,19,1.80616928,0.001651982,0.012041116,0.126798825,0.211857562,0,0,0.106534508,0.003928047,0.023641703,2.57E-04,5.51E-04,0.042143906,0.201798825,9.91E-04
AL4_T1,AL4,T1,Al Lith,5.5,Medium,33.48999315,0.71529737,0.078770928,0.434027106,20.64,3.68,3.76,1.58,3.18,5.62,1.94,0.122342065,0.81429195,0.27181533,1.7516007,0.0445397,0,0,1.04166667,0.10416667,29.58333334,0.208333333,31.14583334,1,9.85E-08,3.702230703,482,32,1.842517781,0.002900147,0.006864905,0.300770925,0.174944934,5.51E-05,5.51E-05,0.264225404,0.005965492,0.029038179,3.67E-05,8.81E-04,0.055506608,0.149082232,0.001725404
